sku_id,product_name,category,on_hand_inventory,on_order_inventory,lead_time_weeks,safety_stock_units,reorder_point_units,minimum_order_qty,avg_forward_weekly_demand,weeks_of_supply,demand_cv,unit_cost_inr,unit_selling_price_inr,risk_status,recommended_order_qty,primary_driver,recommended_action,potential_lost_sales_inr,excess_capital_locked_inr,markdown_exposure_inr
SKU-GRO-001,Royal Basmati Rice 5kg,Staples & Groceries,95,0,2,50,330,50,241.0,0.4,0.232,420.0,599.0,REORDER NOW,400,On-hand (95) + On-order (0) is below lead-time demand + safety stock (479 units). Current cover 0.4 wks < 2 wks lead time.,Issue immediate PO for 400 units (MOQ: 50). Expedite shipment with 1st tier supplier.,230135.8,0.0,0.0
SKU-GRO-002,Sharbati Whole Wheat Atta 10kg,Staples & Groceries,1250,200,2,59,479,60,329.1,3.8,0.21,310.0,435.0,HEALTHY,0,Well-balanced stock coverage (3.8 weeks) comfortably covers supplier lead time (2 wks) with stable volatility (CV: 0.21).,Maintain regular monitoring cadence. No procurement or discounting action required.,0.0,0.0,0.0
SKU-GRO-003,Cold-Pressed Mustard Oil 1L,Staples & Groceries,110,50,3,83,563,40,228.9,0.5,0.247,135.0,195.0,REORDER NOW,560,On-hand (110) + On-order (50) is below lead-time demand + safety stock (683 units). Current cover 0.5 wks < 3 wks lead time.,Issue immediate PO for 560 units (MOQ: 40). Expedite shipment with 1st tier supplier.,101926.5,0.0,0.0
SKU-GRO-004,Organic Toor Dal 2kg,Staples & Groceries,720,100,2,47,297,40,186.9,3.9,0.224,190.0,275.0,HEALTHY,0,Well-balanced stock coverage (3.9 weeks) comfortably covers supplier lead time (2 wks) with stable volatility (CV: 0.22).,Maintain regular monitoring cadence. No procurement or discounting action required.,0.0,0.0,0.0
SKU-GRO-005,Refined Sulphur-Free Sugar 5kg,Staples & Groceries,2600,0,1,41,216,50,246.1,10.6,0.198,180.0,249.0,MARKDOWN / CLEAR,0,Excessive inventory holding (2600 units = 10.6 weeks of supply). Significant capital lockup exceeds 10-week safety ceiling.,Halt all incoming procurements. Activate 20%-30% clearance discount promotional bundle to liquidate 1123 excess units.,0.0,202239.0,83929.19
SKU-GRO-006,Assam Orthodox Whole Leaf Tea 500g,Staples & Groceries,260,30,2,45,235,30,154.2,1.7,0.274,240.0,360.0,REORDER NOW,30,On-hand (260) + On-order (30) is below lead-time demand + safety stock (318 units). Current cover 1.7 wks < 2 wks lead time.,Issue immediate PO for 30 units (MOQ: 30). Expedite shipment with 1st tier supplier.,10188.0,0.0,0.0
SKU-BEV-001,Authentic Masala Chai Premix 1kg,Beverages & Dairy,270,0,2,57,277,35,220.8,1.2,0.327,320.0,480.0,REORDER NOW,175,On-hand (270) + On-order (0) is below lead-time demand + safety stock (424 units). Current cover 1.2 wks < 2 wks lead time.,Issue immediate PO for 175 units (MOQ: 35). Expedite shipment with 1st tier supplier.,73968.0,0.0,0.0
SKU-BEV-002,Artisanal Cold Brew Coffee 250ml (Pack of 6),Beverages & Dairy,40,0,3,66,261,25,117.4,0.3,0.409,360.0,549.0,REORDER NOW,350,On-hand (40) + On-order (0) is below lead-time demand + safety stock (371 units). Current cover 0.3 wks < 3 wks lead time.,Issue immediate PO for 350 units (MOQ: 25). Expedite shipment with 1st tier supplier.,181938.6,0.0,0.0
SKU-BEV-003,Alphonso Mango Pulp Tin 850g,Beverages & Dairy,1400,0,2,85,245,30,124.2,11.3,0.502,140.0,220.0,MARKDOWN / CLEAR,0,Excessive inventory holding (1400 units = 11.3 weeks of supply). Significant capital lockup exceeds 10-week safety ceiling.,Halt all incoming procurements. Activate 20%-30% clearance discount promotional bundle to liquidate 655 excess units.,0.0,91714.0,43236.6
SKU-BEV-004,Sparkling Botanical Tonic Water 250ml,Beverages & Dairy,75,0,2,85,345,60,225.3,0.3,0.363,45.0,85.0,REORDER NOW,420,On-hand (75) + On-order (0) is below lead-time demand + safety stock (476 units). Current cover 0.3 wks < 2 wks lead time.,Issue immediate PO for 420 units (MOQ: 60). Expedite shipment with 1st tier supplier.,34119.0,0.0,0.0
